text,sentiment,eof,responsiveness,accuracy
এই প্রোজেক্টটি কি চলমান থাকবে নাকি বন্ধ হয়ে যাবে?, neutral, na, na, na
"সব জায়গায় হরিলুট, জনগণের মাল দিয়া মেশানো হচ্ছে", negative, na, na, high
সকল আমলার চাকরি না করা উচিত, negative, na, na, high
ঋণ নিয়ে এসব হরিলুটের প্রজেক্ট করে টাকা পাচার করছে, negative, na, na, low
হাসিনার ক্ষমতা দখলের একমাত্র লক্ষ্য ছিলো তার পরিবারকে যারা হত্যা করেছিল তাদের হত্যা করা, negative, na, na, na
এদের কারো ভবিষ্যৎ প্রজন্ম বাংলাদেশে নেই, negative, na, na, na
বাংলাদেশকে এরা মনে প্রাণে ঘৃণা করে, negative, na, na, na
কিছু সুবিধালোভী চাটুকার সম্প্রদায় এদেরকে ক্ষমতার কেন্দ্রে নিয়ে গেছে, negative, na, na, na
"হাসিনা দেশের যে ক্ষতি করেছে, আগামী শতকেও এর প্রভাব থেকে যাবে", negative, na, na, high
এদের বিচার বাংলাদেশে করতেই হবে, neutral, na, na, high
আওমিলীগ ও হাসিনার পরিবার দেশকে বাংলাদেশ হিসেবে মেনে নিতে পারেনি, negative, na, na, na
"স্বৈরশাসক হাসিনার হাজার হাজার মানুষ খুন, বিলিয়ন বিলিয়ন ডলার চুরি ও পাচার", negative, na, na, low
প্রকল্পের নামগুলো বদনাম করার জন্য এসব রিপোর্ট করা হয়, negative, na, na, moderate
মেজর ডালিম সহ সেই পরিবারকে হত্যা করেছে, negative, na, na, na
দেখুন জনগণ নিজের জীবন দিয়ে দেশকে বাঁচিয়েছে, positive, na, fast, na
আফসোস লীগ বলবে - দেখিরো মেধাবী ছাত্ররা কিভাবে কম্পিউটার চালায়, negative, moderate, na, na
"শেখ পরিবারের নাম নিশানা নিশ্চিহ্ন করা উচিত, এরা দেশের শত্রু", negative, na, na, na
সব সচিব এবং কর্মকর্তা সবাইকে আইনের আওতায় আনা দরকার এবং শেখ হাসিনার বিচার হতে হবে, negative, na, na, high
নিজের পরিবারের নাম ব্যবহার করা হয়েছে স্বার্থ উদ্ধারের জন্য, negative, na, na, moderate
"হাসিনা দেশটাকে ধ্বংস করে দিয়েছে, তাও আওয়ামীলীগ এর লোকজন এগুলো দেখে না", negative, na, slow, na
দুর্নীতি দরিদ্র দ্বারা পরিশোধ করা হয়, negative, na, na, moderate
দুর্নীতিবাজ সব সচিবকে বিচারের আওতায় আনা হোক, negative, na, na, high
লুটপাট করে সব শেষ করে দিয়েছে, negative, na, na, low
আমি দেখছি ল্যাপটপগুলো একবারে লো কোয়ালিটি, negative, low, na, moderate
মেজর ডালিম সাহেব এই দুই বিচ্চু কেন রাখেন, negative, na, na, na
"ল্যাপটপের কনফিগারেশন দেখেছি, কম বাজেট, কিন্তু বিল করার সময় কতটা লুট হচ্ছে কে জানে", negative, low, na, low
হায়রে উন্নয়ন, negative, na, na, na
"আপনারা যারা মিডিয়াকে মাথায় তুলছেন, ভুলে যাবেন না তাদের অতীত কি ছিলো", neutral, na, na, high
"আমাদের দেশে নাতি-কাতি, আমরা জানি নিজেদের একাউন্টে টাকা রাখা অন্যায়", negative, na, na, high
এই কীটপতঙ্গের সাজার পূর্বে পরিবারের সদস্যদের ব্যবস্থা করা জরুরি, negative, na, na, na
শেখ রাসেল নিহত হলেও পরবর্তীতে প্রেতাত্মারূপে ফিরে আসে, neutral, na, na, na
"এইসব বন্ধ করা উচিত, এবং সব কিছু শেখের নামে কেন?", negative, na, na, na
অনেক ভাইবোন এখনো সুস্থ হয়ে উঠেনি এবং এক্সাম দেওয়ার মতো মানসিকতা নেই, negative, low, na, na
"কাউকে ছাড় দেওয়া হবে না, পুরো দেশ সংস্কার না হওয়া পর্যন্ত সবাইকে ধৈর্য ধরে পাশে থাকার অনুরোধ", neutral, na, na, na
দাড়িটা রাখলে আরও ভালো লাগবে, positive, na, na, na
"ভিডিওতে অনলাইন এডুকেশন বিজয়ী হয়েছে, অনলাইন এডুকেশন ভালো, তবে বুদ্ধিমানের মতো ব্যবহার করতে হবে", positive, high, fast, high
