text,sentiment,eof,responsiveness,accuracy
"গ্রামীণ এর ইন্টারনেট ডেটার মূল্য অনেক বেশি, ধরা ছোঁয়ার বাহিরে বললেও চলে।", negative, na, na, na
"বাংলাদেশে আগে থেকেই ৪জি নাম দিয়ে ২জি এর গতি প্রদান করে যাচ্ছে, এখন তো আমরা ১জি তে পৌঁছে গেলাম। গতমাসে গ্রামিনের যেই মাসিক ইন্টারনেট প্যাক ক্রয় করেছি একশত পঞ্চাশ টাকা দিয়ে, সেটার মূল্য এখন দুইশত টাকা। আরে ভাই দাম বাড়াবেন ভালো কথা ৩জি ৪জি যাই দেন সমস্যা নেই, কিন্তু বেশি দামের প্যাক চালানোর জন্য টাওয়ারের নিচে বসে ভালো গতিতে ইন্টারনেট চালাতে হবে? এটা কেমন কথা?", negative, low, slow, low
পদচিহ্ন, neutral, na, na, na
"এইসব গরু, ছাগল কোথা থেকে আসে ইন্টারনেট প্যাকেজের দাম সব দ্বিগুণ হয়ে গেছে।", negative, na, na, na
বাজে সিদ্ধান্ত নেওয়া হয়েছে। আমি সবসময় পনেরো দিনের মেয়াদ ওয়ালা প্যাকেজ কিনে থাকি। এখন একেকটা প্যাকেজের দাম দেখে চোখ কপালে উঠে।, negative, low, na, na
দাম বাড়ালেন কেন, negative, na, na, na
"অপারেটর কোম্পানিগুলো তো আর জিবি কিনে না। তারা কিনে ব্যান্ডউইথ। এসব জিবি প্যাকেজ কেবলই প্রতারণা। আট ঘন্টা, এক দিন, তিন দিন, সাত দিন, পনেরো দিন, ত্রিশ দিন এরকম প্যাকেজ থাকবে এবং তা হতে হবে আনলিমিটেড", negative, low, na, low
"বিটিআরসি মেয়াদের কথা চিন্তা করেছে, টাকার কথা না। টেলিটকে তিনশত নয় টাকায় ছাব্বিশ জিবি আনলিমিটেড, ক্রয় করা যেত নতুন রেট ছয়শত উনত্রিশ টাকায় পঁচিশ জিবি আনলিমিটেড। প্রশ্ন : পকেট কার কাটা হচ্ছে?", negative, low, na, na
আগে পাঁচশত উনচল্লিশ টাকায় ষাট জিবি নিতাম এখন পঁয়তাল্লিশ জিবি দিচ্ছে অথচ মেয়াদ সেই ত্রিশ দিন। বাজে সিস্টেম করে।, negative, low, na, na
বন্ধ করে আমাদের ক্ষতি করছো তুমি। ফালতু লোক।, negative, low, na, na
রাগ, negative, na, na, na
একদম ফালতু এখন ওয়াইফাই ছাড়া উপায় নাই। শুধু ফালতু!, negative, low, na, na
টেলিটকে তিন ও পনেরো দিনের মেয়াদ যদি না থাকে, neutral, na, na, na
৫জি চাই, positive, na, fast, na
তিন দিন মেয়াদি ডাটা না থাকলে সিম ব্যবহার বাতিল করব।, negative, low, na, na
"৫জি বলে ৩জি ও পাওয়া যায় না কোনো সিম অপারেটরেই, তার জন্য কিছুই বলে না কেন বিটিআরসি? এটা কি দেশের মানুষের সাথে প্রতারণা না", negative, na, slow, low
"আমার মতে মেয়াদ বলতে কিছু থাকা উচিত নয়, ধরুন এক জিবি ডেটা দশ টাকা চল্লিশ জিবি ডেটা চারশত টাকা, এখন এক জিবি ডেটা দিয়ে তো এক মাস চালাতে পারবে না যে কোম্পানির লোকসান হচ্ছে। অতএব কোম্পানীগুলোকে এভাবে নির্দেশ দেওয়া হচ্ছে না কেন, নাকি কোম্পানির দালালি করছে বিটিআরসি।", negative, low, na, na
যেভাবে চলছিল সে ভাবেই চলতে দেওয়া উচিত ছিল, neutral, na, na, na
