text,sentiment,eof,responsiveness,accuracy,
"মোহাম্মদপুর টাউন হল সাদেক খান কৃষি মার্কেটে অভিযান চালান, ওরা ওজন কম দেয়, মিষ্টি কথা দিয়ে বোঝানোর লাভ নেই",negative,n/a,n/a,low,
"ম্যাডাম আপনি শিক্ষা দিতে আসছেন না অভিযানে আসছেন, এত সময় অপচয় করলে দেশ লুট হয়ে যাবে",negative,low,slow,n/a,
"ভণ্ডামি অভিযান বাদ দিয়ে সঠিকভাবে অভিযোগ করুন, কঠোরভাবে করুন",negative,low,n/a,n/a,
"সবাই স্বার্থের জন্য ক্ষমতায় বসে আছে এবং টিকে থাকবে কারণ জনগণ অসহায় এবং অনাহারে মরবে, বাংলাদেশে দুর্ভিক্ষ চলছে, দেশটাকে ধ্বংস করার জন্য এক দুইটা লোকই যথেষ্ট",negative,n/a,n/a,n/a,
"আপনারা কৃষক এবং ভোক্তার মাঝখানে ব্যবসা করা চাঁদাবাজ এবং লাইসেন্সবিহীন সিন্ডিকেট ব্যবসায়ীদের না ধরে সহজ রাস্তা মাপছেন আর খুচরা ব্যবসায়ী ধরছেন, কেন মাঝের দালালদের ধরতে পারেন না, সিন্ডিকেট কি সরকারের চেয়ে শক্তিশালী",negative,n/a,n/a,n/a,
এত সস্তা কথা আর সামান্য কিছু টাকা জরিমানা করে এদের নিয়ন্ত্রণ করা কিছুতেই সম্ভব হবে বলে মনে হয় না,negative,n/a,n/a,n/a,
কারণ বাজারে জানানো উচিত এবং বাজারের মূল্য তালিকা দেওয়া উচিত,neutral,n/a,n/a,low,
"কোনো লাভ নেই, এই দোকানদারের কাছে না গিয়ে কৃষকের কাছে যেতে পারেন, কেন একটা আইন, কৃষক বিশ টাকায় বিক্রি করার পর সেটা দোকানদারের কাছে এসে আশি থেকে একশ টাকা হয়, এই প্রশ্নের উত্তর খুঁজুন, অযথা দোকানদারের কাছে গিয়ে কোনো লাভ নেই",negative,n/a,n/a,low,
"ভোক্তা অধিদপ্তরের কাছে আমার একটা প্রশ্ন, এক লিটার সয়াবিন তেল ঢাকায় কিনলে যত টাকা লাগে, টেকনাফে বা তেতুলিয়ায় কিনলে একই টাকা লাগে, এখানে খুচরা মূল্য দেওয়া আছে, ঠিক একইভাবে ডিমের ক্ষেত্রে খুচরা মূল্য নির্ধারণ করলে দেশের জন্য মঙ্গল হবে বলে আমি মনে করি",neutral,n/a,n/a,low,
"ছোট ছোট ব্যবসা নয়, সকল ব্যবসায় এই নিয়মের আওতায় আনতে হবে, যেমন যারা বিদেশ থেকে পণ্য আমদানি করে তাদেরকে সবার আগে এই নিয়মের আওতায় আনতে হবে, কত টাকায় আমদানি করে কত টাকায় বিক্রি করে, এটা সবার আগে করতে হবে",neutral,n/a,n/a,n/a,
"ওদের জরিমানা করে লাভ নেই, দোকান বন্ধ করে জেলে পাঠানোর ব্যবস্থা নিন",negative,n/a,n/a,n/a,
"এদের মতো ব্যবসায়ীদের লাইসেন্স স্থায়ীভাবে বাতিলসহ জেলের ব্যবস্থা করতে হবে, এবং ঐ ব্যক্তি সংশ্লিষ্ট কেউ যাতে আর এই ব্যবসায় না করতে পারে সেই আইন না করলে খাদ্যে শৃঙ্খলা আসবে না, শৃঙ্খলা সত্যিই আসবে না",negative,n/a,n/a,n/a,
আপনাদের নাটক দেখতে আর ভালো লাগে না,negative,n/a,n/a,n/a,
"আড়তে মূল্য তালিকা দেখানোর জন্য বলেন, আপনারা রাতের বেলায় আড়তদারদের চেক করুন, দিনের বেলায় নয়",neutral,n/a,n/a,low,
"কেয়ামত পর্যন্ত দাম থাকবেই, এমনভাবে আর দাম কমবে না, জনগণ না খেয়ে মরবে, দেখার মতো কেউ নেই",negative,n/a,n/a,n/a,
"এভাবে প্রত্যেক বাজারে চেক করা দরকার, কারণ সিন্ডিকেট শিকড় গেড়ে বসেছে",neutral,n/a,n/a,n/a,
"কোনো রকম জরিমানা না করে হাজতে নেওয়া হোক, তাহলে সব ঠিক হয়ে যাবে",negative,n/a,n/a,n/a,
